user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
alexadorable,0,0,0,1,0,0,0,2,0,0,0,32,2,31,48,48,36,15,3,5,0,0,0,0
Armando,59,17,19,0,0,36,0,0,0,0,0,0,0,0,0,0,44,28,5,6,1,7,12,45
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,25,0,1,0,0,0,0
Barinade88,0,0,0,0,0,0,0,0,0,1,1,5,38,4,0,0,24,37,46,11,0,0,5,12
bokchoiii,0,0,8,1,0,17,6,1,0,0,18,84,9,22,0,0,0,0,2,17,5,18,0,0
breezyexcursion,2,0,0,0,0,0,0,0,10,3,0,8,3,0,0,0,0,0,2,12,0,24,0,10
ChrasSC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Chucky,0,0,0,0,0,0,0,0,0,0,13,0,0,39,0,24,36,0,0,3,15,6,13,0
cmc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadmachine,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,2,12,6
DragonPick,0,0,0,0,0,0,0,0,2,0,4,5,0,16,2,31,114,0,1,5,0,0,0,0
Error1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evae,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46
Flam,56,0,3,0,0,0,0,1,0,0,0,0,0,9,21,20,60,14,16,0,0,12,2,0
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
GG_Zeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Heyzeus,15,2,0,0,0,0,0,0,0,0,6,6,17,1,3,13,20,2,7,14,4,32,13,0
Hiten,12,0,0,0,0,0,0,0,0,1,2,5,71,2,4,23,150,0,0,27,0,1,6,39
Hosea,0,0,0,0,0,0,0,0,0,1,1,0,5,2,19,3,16,0,0,0,0,13,0,0
jeremy,71,0,0,0,0,0,0,0,0,0,0,0,0,0,93,77,0,0,18,0,0,0,3,0
John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,8,20,1,0
Komb,27,11,9,0,2,12,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0
MegaTech,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MrMallard,11,0,0,7,1,2,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
Musicaä,0,13,0,0,0,0,1,0,0,0,0,1,14,7,17,26,0,43,18,0,0,0,0,0
My_Own_Persona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,13,8,2,1,1,0,0,0,0
NigerianKnightmare,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
renavlt,31,4,0,0,0,0,0,0,0,0,0,0,24,12,10,26,61,35,21,1,1,4,1,29
SaltyPirate,3,0,0,0,0,5,1,4,0,6,0,1,11,0,22,0,9,7,0,0,0,0,0,0
Sicachu,72,0,1,0,0,0,0,0,0,0,0,0,0,56,7,27,43,0,28,16,9,19,0,25
Skullface,0,0,0,0,0,0,0,0,0,1,0,108,43,40,69,21,23,1,5,7,0,3,1,0
soup,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,28,0,0,0,0,0,21
Tatsumaki,3,1,1,0,0,1,0,1,0,0,2,3,3,5,3,9,19,8,5,0,0,0,0,4
teef,0,13,19,0,0,0,0,0,0,0,0,0,0,13,1,0,0,2,0,0,0,1,0,0
TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,1,0,1,0,5
TK,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1,0,12,0,0,0,0,3,3,11
Vulgorn,0,0,0,0,0,0,0,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0
wlof,0,0,0,0,0,2,0,4,2,0,2,0,19,2,0,3,0,0,5,38,0,0,0,0
