user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,13,0,12,3,0,22,28,26,0,1,1,40,17,0,0,0,0,0,0,163
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,12
bokchoiii,0,0,0,7,34,33,0,11,0,0,0,5,13,38,106,19,75,8,3,0,0,0,0,6,358
breezyexcursion,1,0,0,0,0,0,0,0,0,0,4,18,19,10,55,13,24,2,16,8,0,0,27,3,200
Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cdorner,0,0,0,0,0,0,0,0,0,1,0,4,5,0,31,1,2,0,0,0,1,2,0,4,51
chained,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Coolppl,0,0,0,0,0,0,0,0,0,0,3,1,4,1,24,2,19,0,1,0,0,1,3,0,59
crackprosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4
Drewnami,0,0,2,3,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
Error1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,5
Heyzeus,5,0,2,0,0,0,0,0,0,0,0,0,19,34,26,7,13,3,0,75,11,29,29,6,259
Hiten,6,0,0,0,0,0,0,0,3,1,2,0,17,20,1,0,54,34,1,83,30,113,195,49,609
jeremy,0,8,9,4,5,0,0,0,0,0,0,0,0,0,0,9,37,0,0,0,0,0,0,0,72
John,0,0,0,0,0,0,0,0,0,0,0,0,4,8,18,3,37,15,2,17,0,0,0,0,104
MrMallard,0,1,0,0,0,0,0,6,13,5,0,0,0,0,0,10,45,26,19,50,23,1,0,0,199
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
Nightmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,8,11,10,0,20,0,12,51,19,156
SaltyPirate,5,7,0,0,0,0,0,0,3,0,0,11,7,30,2,0,18,0,0,0,0,0,1,0,84
Sicachu,4,2,0,8,11,0,0,0,0,0,0,0,56,65,54,18,17,34,0,84,12,81,95,10,551
Skullface,0,0,0,0,0,37,0,0,6,7,5,13,0,0,2,0,1,0,1,0,0,0,0,0,72
soup,0,0,0,0,5,15,0,0,0,0,0,0,0,53,13,27,29,15,0,0,0,16,0,0,173
Tatsumaki,0,1,0,0,0,0,0,0,0,0,1,3,2,1,0,0,3,0,2,2,2,1,0,1,19
Tavi,0,0,0,3,0,0,0,0,0,0,0,0,7,0,1,0,0,3,0,3,0,7,12,15,51
TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,3,0,0,0,83
TK,14,9,2,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,16,0,2,0,2,64
Vulgorn,0,0,1,0,0,0,0,23,7,14,25,39,92,42,0,0,0,0,0,0,0,9,0,0,252
wlof,0,0,0,0,0,0,0,0,0,0,0,0,16,13,5,0,1,34,3,124,3,76,98,34,407
CECHAT,48,28,16,25,79,147,0,52,35,28,72,122,301,338,349,137,429,201,48,574,85,353,511,150,4128
