user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,20,0,23,7,14,4,92,30,13,50,27,43,7,4,18,6,44,51,5,0,0,0,458
Armando,79,33,19,10,28,0,0,0,0,0,0,37,54,66,9,0,14,29,30,22,60,14,35,7,546
Ashtar_Sheron_GLF,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,13
bokchoiii,84,15,43,32,64,0,1,2,85,62,33,46,1,0,0,0,0,36,120,57,18,59,10,284,1052
breezyexcursion,5,27,0,0,0,0,0,0,4,21,12,0,2,68,33,18,18,0,3,11,0,2,75,242,541
cdorner,0,0,0,0,0,0,0,0,29,20,6,0,1,0,0,0,0,1,1,1,1,4,0,0,64
chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,8,0,0,10,0,0,23
ChrasSC,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
Chucky,0,0,0,0,0,0,0,0,0,0,7,0,0,41,0,5,1,0,11,0,0,0,0,14,79
crackprosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
DragonPick,0,0,0,0,0,0,0,0,42,29,0,0,0,18,13,12,0,0,43,62,6,0,0,0,225
evae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
Heyzeus,0,0,0,0,0,0,0,2,3,18,3,6,13,33,9,26,28,16,18,0,10,9,8,14,216
Hiten,0,0,0,0,0,0,2,0,2,21,8,0,16,14,0,58,35,40,2,26,17,65,64,20,390
Hosea,0,0,0,0,0,0,0,0,2,37,4,32,3,12,0,6,2,16,3,25,20,1,0,1,164
jeremy,0,0,0,12,5,0,0,0,0,0,0,109,62,53,11,11,11,0,0,0,16,0,0,0,290
John,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,27,8,16,43,24,20,0,147
Lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48
MegaTech,0,0,0,0,0,2,0,5,22,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36
Moosick,0,8,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,16
MrMallard,24,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55
NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,5,30,3,5,20,0,0,129
Paul,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
renavlt,28,5,0,0,0,0,0,0,0,1,2,14,44,35,9,0,1,26,63,55,39,9,25,0,356
ridaoct17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SaltyPirate,2,10,0,0,0,0,0,0,23,0,0,5,0,15,3,3,0,0,0,0,0,0,0,0,61
Sicachu,0,0,0,0,0,0,0,0,0,0,0,0,55,29,1,52,7,24,42,0,21,11,43,128,413
Skullface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,13
soup,81,12,0,0,4,14,3,0,0,0,0,0,0,0,1,0,20,23,17,28,18,10,5,7,243
Tatsumaki,3,0,0,0,1,9,0,0,2,0,0,3,0,13,1,0,3,6,3,8,0,1,0,0,53
teef,20,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,2,23,0,9,0,5,12,0,84
TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4
TK,34,0,0,0,0,0,0,0,0,0,0,0,3,84,25,22,52,19,51,9,0,38,2,79,418
Tsahal,0,0,0,0,0,0,0,17,35,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,57
Vulgorn,0,0,8,0,0,1,0,14,54,60,16,55,10,0,0,0,0,0,0,0,1,7,0,0,226
wlof,0,0,0,0,0,0,2,2,8,1,0,0,32,23,15,0,25,9,19,3,5,9,9,0,162
CECHAT,370,117,104,69,134,36,28,46,403,307,110,362,325,553,145,227,305,306,516,443,293,322,308,818,6647
