user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,0,0,20,19,93,48,65,87,117,30,14,0,0,0,0,0,0,0,0,493
Armando,0,23,27,3,0,5,0,0,0,0,0,14,74,70,20,58,2,6,9,25,5,15,9,47,412
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,7,21,0,0,0,0,2,0,0,0,0,3,0,0,0,0,33
bokchoiii,0,0,24,0,0,0,0,0,0,150,143,72,179,104,46,3,0,0,0,3,37,6,0,131,898
breezyexcursion,0,1,0,0,0,0,0,0,0,0,0,1,39,30,2,34,0,7,1,4,0,1,10,66,196
cdorner,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,4,1,3,5,2,11,0,9,2,66
ChrasSC,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,1,0,3,15
Chucky,0,1,0,0,0,0,0,0,0,0,0,33,30,5,0,4,5,6,2,7,0,4,0,0,97
daffadilio,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DragonPick,0,0,0,0,0,0,0,0,14,33,0,0,0,109,17,8,0,4,1,0,0,0,0,0,186
Drewnami,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
evae,0,1,0,0,0,0,0,0,0,0,0,8,15,1,0,0,0,11,0,1,0,0,0,17,54
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,15,20
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,103,27,145
Heyzeus,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,14,7,3,1,20,8,4,5,0,69
Hiten,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,2,2,1,1,12,6,109,10,155
Hosea,0,0,0,0,0,0,0,0,0,3,8,0,16,2,0,4,6,0,2,0,3,0,0,0,44
jeremy,0,0,0,0,0,0,0,0,0,23,70,25,0,0,0,0,0,0,0,0,0,0,5,49,172
John,0,0,5,0,0,0,0,0,7,7,120,30,6,30,10,35,1,0,3,32,36,43,32,0,397
MegaTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
MrMallard,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Neoconkers,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,5,4,0,0,23
NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,2,0,0,62,16,2,0,0,0,0,0,0,0,3,85
renavlt,0,5,0,0,0,0,0,0,0,0,9,0,34,37,10,10,0,2,6,1,32,7,8,6,167
ridaoct17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SaltyPirate,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,9,0,0,0,0,0,0,0,1,29
Sicachu,0,15,1,0,0,0,0,0,0,0,0,0,32,69,41,3,1,5,8,21,33,7,0,48,284
Skullface,0,0,4,0,0,0,0,0,2,69,35,27,0,68,8,0,3,0,0,0,0,0,5,0,221
soup,0,0,15,0,0,4,0,0,0,0,0,0,0,0,0,0,1,6,0,16,0,0,0,0,42
Tatsumaki,0,0,1,0,0,0,0,1,0,0,7,6,0,13,1,0,0,1,0,1,3,7,6,0,47
TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3
TK,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,4,0,13,17,3,6,3,107,164
Vulgorn,0,0,0,0,1,0,0,21,1,38,19,10,1,0,0,0,0,0,0,0,0,5,0,0,96
wlof,0,0,0,0,0,0,0,0,0,0,0,1,5,4,14,16,6,11,2,12,11,11,0,0,93
znnsk,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
CECHAT,0,48,103,8,2,10,0,43,52,442,476,292,519,742,260,224,43,67,54,168,203,147,304,532,4739
