user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,2,0,0,8,2,58,0,0,0,1,0,26,13,0,0,1,0,0,0,0,111
Armando,32,21,62,73,53,0,0,2,0,0,0,0,14,19,58,24,43,10,36,82,2,23,7,0,561
Ashtar_Sheron_GLF,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
bokchoiii,0,0,110,45,0,0,0,0,17,60,120,90,7,7,34,0,0,0,0,0,0,0,0,0,490
breezyexcursion,6,0,0,0,0,0,0,0,2,7,10,4,1,0,0,0,0,0,4,17,14,14,0,0,79
cdorner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,7
Coolppl,0,0,0,0,0,0,0,0,0,0,14,0,9,12,21,8,10,0,1,0,0,0,0,0,75
crackprosh,0,0,66,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,100
Error1355,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
EsuMark,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
evae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,4,33,1,2,2,0,63
FriggleFraggles,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Heyzeus,20,3,9,28,0,0,0,0,2,18,51,35,0,0,12,15,12,1,0,0,0,0,3,0,209
Hiten,40,0,0,0,0,0,0,0,1,94,75,134,51,31,2,98,29,3,0,0,0,1,0,17,576
John,5,0,0,0,0,0,0,0,1,27,9,7,0,0,1,0,50,8,18,34,9,81,19,0,269
Komb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
Lewdgig,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,21,0,34
MegaTech,0,0,0,0,0,0,0,0,1,8,2,20,0,0,18,11,9,0,0,0,0,0,0,0,69
MrMallard,5,0,1,0,0,0,0,3,2,32,47,0,0,0,4,0,0,0,0,0,0,0,0,2,96
My_Own_Persona,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,11
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,39,7,11,21,13,0,10,12,0,0,0,0,113
NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,32,13,14,17,38,0,13,55,29,44,2,0,0,1,258
renavlt,0,0,0,0,0,0,0,0,0,0,10,14,12,11,10,10,4,0,1,14,0,11,0,0,97
SaltyPirate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,14,0,0,0,0,0,0,0,60
Sicachu,56,86,147,82,4,0,0,0,0,68,159,71,110,48,26,25,0,0,41,121,12,62,4,5,1127
Skullface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
soup,0,0,30,22,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,28,0,2,92
Tatsumaki,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,1,0,1,5,0,2,3,0,19
Tavi,0,55,94,60,50,0,0,0,0,0,0,16,9,3,2,17,5,6,22,0,2,0,3,1,345
teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,2,0,0,0,0,0,0,0,70
TheSwaggersaurus,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,0,0,0,0,14
TK,12,43,0,0,0,0,0,0,0,0,0,0,24,1,0,0,1,0,0,44,0,0,0,0,125
treewojima,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Vulgorn,0,0,10,0,0,0,0,4,0,9,17,23,3,0,0,0,0,0,0,0,1,0,0,0,67
Wise,0,11,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,2,71,0,7,7,0,106
wlof,0,0,0,0,0,0,0,0,4,37,11,68,24,47,20,7,0,0,7,20,4,41,10,3,303
CECHAT,186,219,535,337,115,0,0,18,32,421,574,507,320,210,298,354,228,99,189,514,53,272,79,68,5628
