user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,0,0,34,35,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,82
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
bokchoiii,0,4,0,0,0,0,0,55,41,42,27,13,0,1,70,35,39,7,0,0,0,0,0,0,334
breezyexcursion,1,0,0,0,0,0,0,0,4,19,6,3,10,4,19,4,6,1,5,40,23,2,1,0,148
cdorner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,1,0,18
ChrasSC,0,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,1,4,0,0,0,0,27
Coolppl,0,0,0,0,0,0,0,0,0,1,7,5,0,3,5,0,2,0,1,2,0,1,0,0,27
daffadilio,0,0,0,0,1,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13
Flam,0,0,0,0,0,1,0,1,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,32
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Heyzeus,4,3,0,0,0,0,0,0,4,0,5,21,3,10,6,15,3,0,0,0,22,3,1,0,100
Hiten,5,0,0,0,0,0,0,1,4,13,15,54,3,25,12,44,15,3,0,7,23,2,0,0,226
jeremy,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,29,0,6,0,0,0,0,0,0,44
John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,6
Komb,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
MegaTech,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,4,2,0,0,20
renavlt,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,0,1,5,0,0,0,16
SaltyPirate,0,0,0,0,0,0,1,2,0,0,0,0,2,1,8,1,15,0,0,0,0,0,0,0,30
Sicachu,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14
Skullface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
soup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tatsumaki,0,0,0,0,0,0,0,5,1,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,12
Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
TK,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24
Vulgorn,1,2,0,1,0,0,0,13,25,34,15,24,10,12,3,0,0,0,0,0,3,0,4,2,149
wlof,0,0,0,0,0,0,0,0,0,9,16,34,0,3,5,9,5,4,6,6,11,2,0,0,110
CECHAT,31,16,4,1,1,1,1,115,114,145,125,163,29,71,157,159,87,22,18,67,107,19,8,4,1465
