user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,6,33,6,19,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,103
Armando,5,16,41,1,5,5,0,0,0,0,0,0,15,9,16,0,0,0,0,0,0,0,0,0,113
Ashtar_Sheron_GLF,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
bokchoiii,0,26,108,101,5,0,49,11,57,8,8,53,61,178,14,0,0,0,0,0,0,0,0,0,679
breezyexcursion,8,4,1,0,0,0,0,0,0,0,0,4,5,119,20,0,0,0,0,0,0,0,0,0,161
cdorner,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
chained,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,32
Chucky,4,5,107,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,128
DragonPick,0,0,0,0,0,0,0,0,2,3,0,0,0,19,10,0,0,0,0,0,0,0,0,0,34
Drewnami,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Error1355,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
evae,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Heyzeus,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,13
Hiten,1,0,0,0,0,0,0,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,0,0,17
Hosea,0,0,0,0,0,0,0,5,0,0,0,9,6,7,9,0,0,0,0,0,0,0,0,0,36
jeremy,0,0,0,0,0,0,0,0,0,0,0,0,44,26,12,0,0,0,0,0,0,0,0,0,82
John,0,0,0,0,0,0,7,0,7,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,44
MrMallard,10,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
NigerianKnightmare,0,5,0,0,0,0,0,0,0,0,0,1,31,3,8,0,0,0,0,0,0,0,0,0,48
oxtis,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
SaltyPirate,0,1,2,0,0,0,0,0,0,7,0,0,8,20,10,0,0,0,0,0,0,0,0,0,48
Sicachu,6,2,66,0,0,0,0,0,0,0,0,0,22,7,5,0,0,0,0,0,0,0,0,0,108
soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tatsumaki,0,1,0,0,4,0,0,0,0,0,1,1,2,7,1,0,0,0,0,0,0,0,0,0,17
teef,1,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
TK,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,19
Tsahal,0,0,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Vulgorn,1,0,0,9,0,0,0,1,0,6,9,5,0,0,0,0,0,0,0,0,0,0,0,0,31
wlof,2,18,0,0,0,0,0,4,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,49
CECHAT,55,88,370,165,25,11,95,27,99,33,47,84,216,482,138,0,0,0,0,0,0,0,0,0,1935
