user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,1,0,2,0,0,0,0,79,0,1,1,0,0,0,0,0,0,0,0,0,84
Armando,0,0,0,0,3,0,0,0,0,0,0,8,4,3,0,8,0,0,16,1,0,11,1,0,55
Ashtar_Sheron_GLF,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
bezel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,18
bokchoiii,0,0,0,1,5,9,0,0,0,0,5,72,0,4,2,0,11,1,1,0,8,32,0,0,151
breezyexcursion,2,42,33,0,0,0,0,0,0,0,13,60,30,0,36,1,6,15,0,11,64,57,17,139,526
cdorner,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,0,0,0,7
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,16,24
Coolppl,0,0,0,0,0,0,0,0,0,1,10,18,5,1,0,0,0,3,0,3,0,6,0,9,56
crackprosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,42
Flam,0,0,14,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23
Heyzeus,0,10,5,0,1,0,0,0,0,1,16,36,32,14,4,2,0,0,1,0,6,14,1,22,165
Hiten,0,6,0,0,0,0,0,0,0,5,29,75,63,14,0,19,0,0,1,0,5,24,31,24,296
jeremy,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
John,0,0,0,0,0,0,0,0,1,5,0,31,32,6,2,0,6,28,8,0,0,4,39,44,206
Komb,0,14,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
MegaTech,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
MrMallard,0,0,0,5,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,25
NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,4,51
oxtis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Paul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
renavlt,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7
SaltyPirate,1,9,5,0,0,0,0,2,1,1,2,30,74,8,0,0,0,0,3,0,1,1,0,0,138
Sicachu,0,4,0,5,22,7,0,0,0,0,0,20,41,0,7,23,7,29,11,10,16,40,7,1,250
Skullface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,6,23
Sweepz,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tatsumaki,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,6,0,1,0,0,3,23
Tavi,0,2,0,0,0,14,0,0,0,0,0,0,0,0,3,0,4,5,14,6,0,0,0,6,54
teepan,0,0,0,1,0,0,0,0,0,0,1,11,8,1,0,0,0,0,0,0,0,0,0,0,22
TheSwaggersaurus,1,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,1,0,0,1,0,0,0,3,30
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,84,110
Ultimate,0,0,15,6,0,0,0,0,0,0,0,30,0,0,2,0,1,0,34,3,9,9,12,67,188
Vulgorn,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,11
wlof,0,0,0,0,0,0,0,0,0,2,25,26,36,5,27,11,3,20,4,12,11,8,11,3,204
CECHAT,9,87,110,27,37,37,2,7,5,15,110,577,334,72,85,66,40,102,100,48,146,233,159,463,2871
