user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,0,0,0,0,0,1,1,43,0,0,0,0,0,0,0,0,0,0,0,45
Ashtar_Sheron_GLF,0,0,0,0,3,5,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,17
bokchoiii,0,3,26,3,5,1,0,1,0,13,89,21,2,16,0,0,0,0,0,2,0,0,10,7,199
breezyexcursion,0,0,0,0,0,0,0,0,0,10,66,5,9,10,4,28,11,6,11,16,1,0,5,14,196
Burnt,0,17,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
cdorner,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,3,0,11
Chev427BB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ChrasSC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Coolppl,39,2,0,0,0,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,0,0,0,1,60
daffadilio,4,8,0,0,0,0,0,0,32,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,64
damien,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Flam,7,11,7,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31
FriggleFraggles,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Heyzeus,67,12,16,13,6,0,0,1,31,9,39,0,0,3,2,20,6,6,3,1,1,0,1,3,240
Hiten,55,12,27,1,0,0,0,0,0,0,0,5,0,0,0,6,4,22,0,0,1,0,0,0,133
jeremy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,11
John,0,3,25,1,0,0,0,0,39,9,0,3,3,2,6,1,0,12,1,1,0,3,0,0,109
Komb,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
MrMallard,0,0,0,4,0,0,2,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,29
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,8
Paul,6,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,14,0,16,3,0,2,27,89
renavlt,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,12
SaltyPirate,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,28
Sicachu,53,14,0,34,2,0,0,39,144,0,0,0,0,0,0,0,0,35,19,2,0,0,0,0,342
Skullface,0,0,0,0,0,0,0,0,0,0,47,6,0,0,0,18,6,5,4,2,0,0,1,0,89
soup,54,10,15,22,2,3,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,2,125
Tatsumaki,1,7,4,0,0,0,0,0,0,1,2,0,1,4,0,0,1,3,0,0,0,0,0,1,25
Tavi,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,8
TheSwaggersaurus,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
TK,0,3,0,0,0,0,0,0,0,0,0,0,11,14,1,7,0,2,1,9,0,0,0,23,71
Vulgorn,21,0,11,0,0,0,0,32,152,7,75,32,56,38,11,0,0,0,0,0,0,0,3,1,439
wlof,0,0,0,0,0,0,0,0,0,5,52,8,20,13,6,87,12,55,13,10,3,3,0,0,287
CECHAT,360,122,153,84,20,16,2,83,408,69,373,85,163,106,33,187,49,186,55,61,19,19,30,89,2772
