user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
Ascended,0,1,0,0,0,0,0,10,0,4,0,0,0,0,2,2,0,0,0,0,0,1,5,1,26
bokchoiii,6,15,7,14,8,46,5,5,3,6,13,38,39,78,47,5,12,35,1,0,0,0,0,0,383
boolman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
breezbot,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
breezyexcursion,0,0,0,0,0,0,0,3,1,8,9,0,0,0,0,15,47,22,8,1,2,28,13,0,157
Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,8,2,4,50
cdorner,0,0,0,0,0,0,0,0,0,6,1,2,0,1,3,1,5,6,0,33,12,8,0,0,78
ChrasSC,0,6,0,0,0,0,0,0,0,0,0,0,0,15,4,7,9,0,0,0,0,0,0,0,41
Coolppl,0,2,0,0,0,0,0,0,3,8,0,0,0,0,0,0,4,0,0,4,3,21,7,0,52
daffadilio,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Drewnami,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,10
Flam,4,3,0,1,2,5,0,0,0,0,0,0,8,5,0,0,0,10,19,61,1,0,0,0,119
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
GB,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Heyzeus,0,0,0,2,1,0,1,5,3,8,0,4,3,0,0,4,0,1,0,22,6,0,0,0,60
Hiten,0,0,0,0,0,0,1,8,0,4,7,3,10,10,5,26,1,8,6,98,8,49,65,8,317
jeremy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18
joestarrr,0,0,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,0,22,41,127,46,1,0,247
John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,18
lapiz,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
MegaTech,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MrMallard,0,0,0,5,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40
Paul,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,5
renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25,2,0,38,5,72
SaltyPirate,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,17,3,14,0,0,45
Sicachu,0,0,0,0,0,0,2,7,0,0,0,6,14,6,41,0,1,14,0,89,36,85,13,5,319
Skullface,0,0,0,0,3,2,0,0,5,18,11,26,4,12,0,0,3,0,35,3,25,47,4,16,214
soup,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,69,3,118
Tatsumaki,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,4,1,2,7,0,5,2,3,32
TK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,5,41
VirtualAi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Vulgorn,0,0,0,0,0,0,0,0,0,10,9,7,9,5,3,4,3,40,57,147,144,43,36,18,535
wlof,0,0,0,0,0,0,0,6,2,6,0,2,2,0,0,16,8,1,0,3,0,37,0,0,83
CECHAT,20,40,7,29,18,80,9,51,18,84,60,89,90,138,105,84,139,140,179,584,380,434,283,70,3131
