user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,38,0,0,0,0,0,0,0,4,31,33,8,0,33,0,2,2,0,0,0,0,0,151
Armando,22,4,51,0,0,0,0,3,0,10,19,35,15,15,2,36,1,7,0,0,2,16,1,3,242
Ashtar_Sheron_GLF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bokchoiii,1,0,7,0,0,0,0,0,0,4,36,56,0,0,53,89,1,8,0,0,0,4,0,1,260
breezyexcursion,3,2,0,0,0,0,0,0,0,12,27,23,0,2,1,9,3,0,1,10,1,0,0,0,94
Buckshank350,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cdorner,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,6,0,0,0,2,0,3,19
ChrasSC,0,0,1,0,0,0,0,0,0,0,0,1,4,4,0,1,1,0,0,0,1,0,0,0,13
crackprosh,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15
DragonPick,0,0,0,0,0,0,0,0,0,3,0,0,0,12,60,31,4,1,1,0,0,0,1,1,114
Drewnami,3,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13
Heyzeus,0,1,0,0,0,0,0,0,0,0,0,1,4,15,14,0,1,0,0,6,1,0,0,0,43
Hiten,17,3,0,0,0,0,0,0,0,0,17,0,5,0,0,0,1,7,22,0,0,4,1,79,156
Hosea,0,0,0,0,0,0,0,3,1,1,7,28,6,33,13,17,1,3,0,0,0,2,1,0,116
jaimielovely,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
jeremy,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jkwaffle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John,0,0,0,0,0,0,3,2,0,0,0,0,0,44,32,56,0,6,29,7,0,1,2,20,202
MegaTech,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,9
MrMallard,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,3,14,3,0,0,5,0,32
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,12
NigerianKnightmare,0,1,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,37
renavlt,1,0,0,0,0,0,0,0,0,0,8,20,11,3,7,7,0,22,0,1,1,0,3,1,85
ridaoct17,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SaltyPirate,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,3,0,4,0,0,0,0,16
Sicachu,0,0,0,0,0,0,0,0,0,0,25,25,15,35,4,46,9,27,5,3,0,0,17,50,261
soup,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,21
Tatsumaki,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,1,6,2,3,0,2,0,2,23
Tavi,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,0,5,1,30
teepan,0,8,2,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,44
TheSwaggersaurus,0,1,18,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23
TK,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,1,0,0,0,0,0,9
Vulgorn,0,0,0,0,0,0,0,3,1,8,20,1,28,30,0,0,0,0,0,0,0,0,2,39,132
Wise,9,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,74
wlof,4,0,0,0,0,0,0,0,0,1,17,15,2,39,17,16,0,12,0,5,1,2,17,7,155
znnsk,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
CECHAT,120,31,176,2,4,9,10,13,4,39,182,279,138,277,205,369,39,120,77,43,18,50,74,210,2489
