user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,0,0,0,2,53,107,45,37,106,9,46,54,7,0,0,0,0,0,0,466
bokchoiii,0,1,203,10,6,0,0,0,0,21,12,23,12,0,21,36,2,0,0,0,0,0,13,26,386
breezyexcursion,0,0,0,0,0,0,0,0,4,22,36,17,1,22,9,21,6,37,12,47,3,24,29,14,304
Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,7,0,0,0,15,2,55
cdorner,0,0,0,0,0,0,0,1,1,0,2,6,0,0,0,14,2,0,0,2,0,0,0,0,28
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,8,4,16,1,0,4,2,0,0,0,0,1,6,42
Coolppl,0,0,0,0,0,0,0,0,1,23,1,5,8,5,2,22,23,12,29,2,2,3,0,1,139
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,28
Flam,4,0,40,0,0,0,0,2,0,39,48,4,0,10,3,1,6,0,0,0,0,0,0,0,157
Heyzeus,3,0,0,0,0,0,0,1,14,15,2,9,10,56,14,14,7,6,54,34,8,3,0,5,255
Hiten,0,0,0,0,0,0,0,0,19,26,7,2,5,23,25,26,13,32,14,5,0,1,60,52,310
jeremy,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,28,35,3,39,9,0,2,0,0,121
John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,8,0,0,0,0,41
Komb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,28
Lewdgig,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MegaTech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,3,1,0,0,0,0,28
MrMallard,0,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6
renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,12,17,21,0,0,15,47,124
royal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SableWolfAngel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
SaltyPirate,0,0,0,0,0,0,0,0,0,3,0,1,2,18,11,36,26,0,0,0,0,0,0,0,97
Sicachu,0,40,86,3,0,0,0,0,0,27,33,0,0,30,21,13,5,44,71,59,18,2,7,68,527
Skullface,1,0,0,0,0,0,0,0,29,90,44,34,26,83,0,2,1,38,6,0,0,0,0,0,354
soup,0,0,9,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,57,0,1,9,64,159
Tatsumaki,0,0,0,0,0,0,0,0,0,5,3,9,1,6,0,0,1,0,0,4,0,3,1,1,34
Tavi,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,24,37
TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,98
TK,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,34
Vulgorn,6,2,15,0,0,3,0,1,3,73,130,19,11,107,6,1,0,0,0,0,0,1,0,0,378
wlof,0,0,0,0,0,0,0,0,3,3,3,14,6,0,0,14,0,16,25,30,26,5,0,0,145
CECHAT,26,80,411,22,6,3,0,5,76,400,428,196,123,605,129,274,217,267,287,282,58,56,214,315,4480
