user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,3,2,0,0,0,1,0,8,0,3,5,0,2,0,0,6,4,0,0,0,0,0,0,34
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
bokchoiii,0,0,0,0,0,0,0,0,7,4,14,31,32,0,0,0,0,0,0,0,0,0,0,0,88
breezyexcursion,14,0,0,0,0,0,0,0,0,0,3,16,20,0,3,2,12,12,22,0,0,0,6,1,111
cdorner,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,6,1,13,1,1,0,2,0,32
ChrasSC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Coolppl,3,0,0,0,0,0,0,0,3,0,4,6,16,0,13,52,21,3,1,1,0,12,0,1,136
daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
evae,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Flam,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5
GitHub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
Heyzeus,18,3,1,0,0,0,0,0,0,0,0,3,12,24,1,0,5,1,3,12,4,20,8,0,115
Hiten,0,0,0,0,0,0,0,1,0,1,19,8,75,69,8,62,96,8,6,27,14,6,15,2,417
jeremy,0,0,2,0,0,0,0,0,0,0,0,0,0,12,9,4,36,5,5,2,0,0,0,0,75
John,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,1,0,25,2,6,12,16,2,0,71
Lewdgig,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
MrMallard,0,0,0,0,0,0,0,0,0,0,0,8,56,6,0,0,0,0,0,0,0,0,0,0,70
My_Own_Persona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
renavlt,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,4,1,3,0,0,0,1,0,34
SaltyPirate,0,3,0,0,0,0,0,0,0,1,0,0,0,8,12,0,0,0,0,0,0,0,0,0,24
Sicachu,24,4,25,0,0,0,0,0,0,0,0,1,16,17,19,43,30,0,14,12,7,4,10,0,226
Skullface,0,0,0,0,0,0,0,0,0,6,2,2,0,14,0,0,0,0,0,0,0,0,0,0,24
soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,16,0,0,0,0,0,56
Tatsumaki,0,0,0,0,0,1,2,1,0,0,1,1,1,2,0,0,0,1,1,0,4,1,0,0,16
Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,7,2,0,0,3,0,1,0,41
themmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,2,0,11
Vulgorn,40,88,37,1,0,0,7,4,8,14,27,11,35,0,0,15,0,0,0,0,0,3,0,0,290
wlof,0,0,0,0,0,0,0,3,0,0,0,2,14,5,6,0,0,0,2,6,20,11,0,0,69
CECHAT,122,160,70,2,0,3,12,13,26,27,73,95,280,163,80,251,232,65,92,80,77,73,47,4,2047
