user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,12,64,78,60,50,45,27,0,0,29,2,0,0,0,0,1,0,0,2,0,0,370
Ashtar_Sheron_GLF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bokchoiii,0,2,23,16,33,47,4,27,10,14,0,0,0,0,16,80,11,24,0,2,1,10,0,0,320
breezbot,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8
breezyexcursion,1,2,0,0,0,0,0,0,0,2,22,59,20,5,2,4,0,28,2,8,2,0,1,9,167
Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,5,3,26
cdorner,0,0,0,0,0,0,0,0,2,1,4,0,13,0,0,0,0,2,5,23,41,6,4,5,106
ChrasSC,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,13
Coolppl,0,0,2,0,0,0,0,0,0,1,0,22,27,1,3,32,6,6,2,2,11,8,0,0,123
crackprosh,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,0,0,26
daffadilio,0,0,0,0,12,58,93,40,0,0,0,0,0,0,0,0,1,111,28,0,21,24,9,14,411
Damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,20,31
DEKMS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Drewnami,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
evae,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Flam,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,2,0,2,11,15,0,0,11,57
fvckboiipao,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GitHub,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Heyzeus,12,6,1,3,0,0,0,0,0,0,2,9,13,6,9,23,21,8,5,11,0,0,0,8,137
Hiten,5,4,0,0,0,0,0,0,0,0,5,71,23,15,11,54,36,17,21,0,0,7,2,0,271
jeremy,4,0,0,0,0,0,0,0,0,0,0,0,45,19,7,0,95,0,0,0,0,0,0,9,179
joestarrr,0,0,0,0,28,70,56,0,0,0,0,0,0,0,0,66,55,37,32,19,41,14,1,11,430
John,0,0,0,0,0,0,29,3,0,1,0,0,0,3,21,47,51,53,0,0,0,0,0,24,232
Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MrMallard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,12
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,0,1,19,0,0,0,61
renavlt,0,0,0,0,0,0,0,0,0,0,0,12,13,11,0,0,7,0,0,8,2,0,0,0,53
SaltyPirate,1,3,1,0,0,0,0,0,0,3,0,2,2,3,0,0,0,0,5,5,0,0,0,0,25
Sicachu,10,2,0,0,0,4,0,0,0,0,0,30,23,10,12,0,63,18,9,92,27,8,4,13,325
Skullface,0,0,0,0,0,0,10,66,67,31,5,27,37,4,49,46,0,2,0,0,0,4,0,2,350
soup,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,4,9,4,0,0,0,0,85
Tatsumaki,0,0,0,0,0,1,0,0,1,4,0,2,0,5,0,1,0,1,0,0,1,3,1,0,20
TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
TK,5,0,0,0,0,0,0,0,0,0,2,0,0,6,0,6,5,0,0,0,12,0,0,21,57
Vulgorn,11,0,2,0,0,31,0,75,12,40,22,24,85,70,54,115,0,0,0,0,0,0,1,0,542
wlof,0,0,0,0,0,0,0,0,0,1,2,60,37,3,9,3,18,41,30,45,2,6,6,13,276
CECHAT,50,31,32,40,147,290,252,261,137,134,75,318,367,164,198,515,427,398,154,233,209,99,34,172,4737
