user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
adamwarlock2099,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
alexadorable,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32
Armando,25,18,7,16,0,0,0,0,0,0,0,0,0,2,8,24,39,24,20,40,22,19,19,44,327
Ashtar_Sheron_GLF,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bokchoiii,26,28,63,4,0,0,0,0,17,62,16,2,3,11,0,0,0,0,0,0,0,0,0,0,232
breezyexcursion,28,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,0,1,20,17,25,63,56,30,249
cdorner,0,0,0,0,0,0,0,2,4,0,0,2,0,9,9,2,0,14,0,0,0,27,12,0,81
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,22,7,13,1,10,0,0,0,0,0,0,0,53
Coolppl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,13,0,2,34
crackprosh,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,10,83
Dadmachine,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,17
Drewnami,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Error1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
evae,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,4,42,58,141
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
FriggleFraggles,6,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,11,0,0,0,0,56
Heyzeus,27,24,0,0,0,0,0,1,5,45,18,18,15,24,32,20,70,32,19,25,60,39,78,16,568
Hiten,0,0,0,0,0,0,0,1,11,64,27,88,107,78,26,21,46,7,0,6,26,2,1,1,512
Hosea,18,0,0,0,0,0,0,0,9,2,4,2,5,8,26,7,26,15,0,0,0,0,0,0,122
jeremy,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
John,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,16,8,0,13,52,0,101
Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3
MegaTech,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MrMallard,0,29,22,6,11,0,13,2,0,32,0,0,0,0,0,0,0,9,12,0,107,57,37,0,337
nevershine,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
NigerianKnightmare,0,0,0,0,0,0,0,0,7,59,0,58,0,0,2,0,50,0,7,0,0,0,0,0,183
renavlt,26,0,0,0,0,0,0,0,0,0,15,26,14,18,7,25,22,34,21,27,41,37,22,21,356
SaltyPirate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Sicachu,0,19,0,0,0,0,0,10,6,114,76,134,91,131,42,78,97,117,45,67,144,30,30,0,1231
soup,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,3,41,13,14,19,76,2,26,209
Tadg30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tatsumaki,0,0,1,1,0,0,0,0,6,2,1,0,0,3,0,0,3,2,4,3,3,0,7,6,42
Tavi,18,51,82,24,0,0,0,0,0,0,0,3,19,21,7,3,32,14,0,0,0,0,0,0,274
teepan,0,26,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,43
TheSwaggersaurus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,13
TK,9,0,0,0,0,0,0,0,0,2,49,10,50,12,26,3,14,0,0,0,4,0,3,18,200
Vulgorn,8,4,34,4,1,0,7,0,7,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,71
Wise,0,8,0,0,0,0,0,0,0,0,0,0,1,5,1,0,22,0,20,30,9,1,0,0,97
wlof,0,0,0,0,0,0,1,8,9,27,15,0,6,7,4,10,13,0,2,42,70,34,5,0,253
CECHAT,242,240,229,71,12,1,23,24,91,438,229,390,340,342,204,208,457,321,205,320,536,440,384,242,5989
