user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,0,0,0,0,13,0,3,9,1,0,51,12,73,18,42,26,49,59,0,0,0,0,356
Ashtar_Sheron_GLF,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5
bokchoiii,123,28,2,1,0,0,0,0,11,0,0,0,37,63,0,3,0,2,59,7,0,2,1,19,358
breezyexcursion,54,2,0,0,0,0,0,0,0,1,1,2,4,7,37,1,21,3,86,36,5,0,0,16,276
Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1,0,0,0,36
cdorner,0,0,0,0,0,0,0,0,3,1,0,3,14,0,1,0,0,0,5,0,1,2,0,1,31
ChrasSC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,0,0,4,21
Coolppl,0,9,0,0,0,0,0,0,0,1,1,0,2,6,10,1,0,0,0,4,1,0,0,0,35
crackprosh,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,0,0,0,75
damien,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Error1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,17
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,0,0,0,41
Flam,1,0,0,0,0,0,10,0,2,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,26
Heyzeus,13,7,2,1,0,0,0,0,0,0,0,0,2,14,40,17,12,19,50,24,20,24,5,3,253
Hiten,31,0,0,0,0,0,0,0,0,0,1,1,29,73,50,50,2,4,25,11,42,75,6,25,425
joestarrr,0,11,1,0,0,0,0,0,0,0,0,0,14,29,48,0,0,0,32,71,2,0,0,0,208
John,0,0,0,0,0,0,2,1,6,5,3,0,0,0,21,1,1,0,3,138,17,6,0,0,204
Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,4,0,0,58
MrMallard,1,0,0,0,0,0,0,0,0,7,0,2,50,0,0,1,0,0,0,0,0,0,0,0,61
My_Own_Persona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Neoconkers,0,0,0,0,0,0,0,0,0,0,3,0,0,20,63,6,23,17,29,30,0,0,0,0,191
Paul,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
peace,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
renavlt,4,6,0,0,0,0,0,0,0,0,1,2,18,8,40,17,0,0,37,14,0,11,21,22,201
SaltyPirate,0,11,0,0,2,1,0,0,0,2,1,2,6,44,23,11,4,0,0,0,0,0,0,0,107
Sicachu,47,46,1,0,0,0,0,0,0,0,0,0,62,9,97,37,1,23,55,6,31,12,45,51,523
Skullface,0,0,0,0,0,0,0,13,1,10,8,2,0,2,1,11,7,3,4,73,1,2,0,0,138
soup,0,0,0,1,0,2,0,0,0,0,0,0,0,0,13,8,0,0,85,44,0,0,0,30,183
Tatsumaki,0,2,0,0,0,0,0,1,3,2,1,0,6,6,9,4,0,0,2,1,0,2,0,0,39
Tavi,0,16,0,0,0,3,0,0,0,2,3,0,21,14,5,0,0,0,0,0,0,0,0,0,64
TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,37,0,0,3,0,47
TheSwaggersaurus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,92,0,9,10,161
Vulgorn,0,0,1,0,0,0,0,9,1,9,14,5,120,82,140,0,0,0,0,0,0,2,0,0,383
wlof,0,0,2,0,0,0,0,0,0,0,0,1,8,35,25,6,4,28,44,26,112,19,0,0,310
CECHAT,278,138,21,7,3,10,25,24,31,50,38,23,444,425,698,192,119,132,626,799,343,161,90,181,4858
