user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,0,82,0,0,39,0,0,1,26,62,34,5,9,36,0,10,47,143,25,127,179,0,0,825
Armando,0,37,37,9,0,0,0,0,0,36,5,20,15,20,63,46,6,49,74,30,70,47,0,0,564
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,1,0,0,0,2,0,0,39
bokchoiii,0,9,125,7,0,0,0,0,0,128,108,82,4,0,0,0,3,106,173,20,104,157,0,0,1026
breezyexcursion,0,14,0,0,0,0,0,0,2,5,0,0,3,10,0,9,13,5,17,2,17,37,0,0,134
cdorner,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,6,30,20,58,5,0,0,129
chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,9
Chucky,0,25,0,0,0,0,0,0,0,0,7,0,0,0,0,19,0,8,13,0,0,0,0,0,72
DragonPick,0,0,0,0,0,0,0,0,0,25,0,0,0,38,59,0,13,5,72,0,0,0,0,0,212
Drewnami,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Flam,0,0,0,0,0,77,4,1,2,0,0,0,0,0,0,7,7,21,32,19,46,16,0,0,232
Heyzeus,0,0,0,0,0,0,0,0,0,2,0,1,0,14,12,30,7,0,0,1,9,1,0,0,77
Hiten,0,0,0,0,0,0,0,0,0,29,2,78,93,24,62,79,18,19,10,45,14,5,0,0,478
Hosea,0,10,0,0,0,0,0,0,2,7,0,36,20,2,13,13,6,19,9,4,7,26,0,0,174
jeremy,0,0,0,0,0,0,0,0,0,88,0,0,11,0,0,0,0,0,5,2,2,21,0,0,129
John,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,48,98,0,4,0,0,0,154
Lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,39
MegaTech,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,8
Moosick,0,28,0,1,0,0,0,0,0,8,1,0,0,0,28,29,0,1,0,0,0,0,0,0,96
MrMallard,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,12
NigerianKnightmare,0,0,0,0,0,0,0,0,0,8,0,0,13,0,0,0,0,0,8,3,0,0,0,0,32
Paul,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
renavlt,0,19,0,0,0,0,0,0,0,0,10,28,10,36,45,0,0,14,38,6,3,16,0,0,225
SaltyPirate,0,0,0,1,0,0,0,0,3,28,0,1,12,12,6,21,0,3,0,0,0,0,0,0,87
Sicachu,0,19,68,1,0,0,0,0,0,79,0,92,26,65,91,85,22,82,97,36,9,74,0,0,846
Skullface,0,0,0,0,0,0,0,0,0,66,8,10,0,1,0,0,0,0,0,0,2,2,0,0,89
soup,0,2,0,0,0,26,8,0,0,0,0,0,0,6,9,37,1,0,7,1,0,0,0,0,97
Tatsumaki,0,0,1,0,0,0,4,0,0,15,7,8,0,1,2,0,0,4,0,0,4,1,0,0,47
teef,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15
TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
TK,0,0,0,0,0,0,0,0,0,0,0,27,17,3,2,69,2,52,13,3,0,55,0,0,243
Vulgorn,0,0,0,0,7,60,4,0,3,116,41,25,7,2,0,0,0,0,0,0,0,1,0,0,266
wlof,0,0,0,0,0,0,0,0,3,7,4,0,20,16,2,6,9,1,99,65,13,28,0,0,273
znnsk,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
CECHAT,0,178,313,22,7,202,21,5,17,673,262,445,271,263,466,450,126,498,957,286,528,679,0,0,6669
