user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
alexadorable,0,15,18,150,36,6,20,7,60,7,1,19,27,3,0,0,0,19,14,0,0,0,0,0,402
Armando,14,21,47,102,64,0,0,0,0,0,0,0,38,26,20,17,23,22,20,0,0,0,0,14,428
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45
bokchoiii,8,20,23,173,14,0,2,0,0,0,53,187,6,0,0,0,0,21,25,0,0,0,0,0,532
breezyexcursion,38,1,0,0,0,0,0,0,0,0,8,13,10,33,18,1,14,0,0,0,0,0,0,12,148
cdorner,0,0,0,0,0,0,0,0,6,0,29,6,10,8,7,11,33,5,0,0,0,0,0,0,115
chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Chucky,24,0,0,0,0,0,0,0,0,0,0,6,0,24,10,4,20,24,0,0,0,0,0,0,112
DragonPick,0,0,11,120,52,2,15,0,2,15,39,17,0,2,20,15,6,0,0,0,0,0,0,0,316
Error1355,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,12
gna647,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Heyzeus,32,1,0,0,0,0,0,0,0,6,4,4,38,30,0,1,0,21,6,0,0,0,0,0,143
Hiten,0,0,0,0,0,0,0,0,0,21,30,102,119,110,4,70,23,18,0,0,0,0,0,0,497
Hosea,0,0,0,0,0,0,0,0,2,3,11,5,0,11,7,17,5,20,0,0,0,0,0,0,81
jeremy,0,0,0,0,0,0,0,0,0,0,0,1,55,33,0,0,0,0,0,0,0,0,0,18,107
John,16,50,64,105,68,0,0,0,0,11,37,66,36,53,3,32,25,2,0,0,0,0,0,0,568
Little,0,0,4,113,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
MegaTech,0,0,0,0,0,0,0,0,4,1,4,1,5,0,7,0,0,0,0,0,0,0,0,0,22
Moosick,0,0,0,0,0,0,0,0,0,0,3,50,5,15,1,3,5,26,18,0,0,0,0,0,126
MrMallard,0,0,0,0,12,0,0,0,0,0,26,69,0,0,0,0,0,0,0,0,0,0,0,0,107
Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
NigerianKnightmare,0,0,0,0,0,0,0,0,0,5,0,55,11,0,5,0,53,0,0,0,0,0,0,0,129
renavlt,3,0,0,0,0,0,0,0,0,6,0,13,5,22,5,2,3,4,11,0,0,0,0,2,76
ridaoct17,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SaltyPirate,10,2,0,0,0,0,0,0,5,0,0,1,35,6,26,3,0,0,0,0,0,0,0,0,88
Sicachu,24,33,7,117,0,0,0,0,0,0,23,80,82,106,0,7,55,53,17,0,0,0,0,0,604
Skullface,0,0,0,0,0,0,0,0,12,0,27,88,0,0,0,0,0,0,0,0,0,0,0,0,127
soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25
Tatsumaki,1,2,3,0,1,0,0,0,2,15,1,21,2,5,1,2,0,0,0,0,0,0,0,0,56
teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
themmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
TK,15,0,0,0,0,0,0,0,0,0,0,7,4,20,0,26,79,36,0,0,0,0,0,0,187
Vulgorn,0,0,0,0,0,0,0,11,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58
wlof,0,0,0,0,0,0,0,0,0,7,34,29,0,0,8,0,0,0,0,0,0,0,0,0,78
znnsk,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,26
CECHAT,186,145,177,880,278,8,37,18,125,110,353,863,488,509,143,282,347,282,113,0,0,0,0,65,5409
